r\c	0.0	25.0	50.0	75.0	100.0	125.0	150.0	175.0	200.0	225.0	250.0	275.0	300.0	325.0	350.0	375.0	400.0	425.0	450.0	475.0	500.0	525.0	550.0	575.0	600.0	625.0	650.0	675.0	700.0	725.0	750.0	775.0	800.0	825.0	850.0	875.0	900.0	925.0	950.0	975.0	1000.0
0.9995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	790374.0888744316	Infinity	32704.093828768502	Infinity	79037.40888744315	2805.3457024672807	63871.03801101348	2780.4006706395917	Infinity	6586.450740620263	14113.823015614846	6586.450740620263	5838.7247579569075	8207.920633364383	6586.450740620263	157.76118464494363	3258.748766744922	2171.357387017669	662.57650293227	3258.748766744922	341.06402207998957	174.6716738510274	231.27692449453184	88.39303055795286	489.88670905058484	209.06705896989075	298.3369383758111	90.89179092004787	46.43745381283643	68.04127475096712	40.377481620302326	28.55981789704179	45.328962622713455	NaN
0.001	1057706.2167231424	280.34081415143976	140.89500971462058	70.81469134421874	46.77652957406028	23.922362208218757	15.695285902026376	11.296882098201511	11.748605630335453	7.863087617038797	7.501030706229782	5.797119175792507	4.656397457460952	4.68198146525428	3.9991307747815643	3.1100963210568326	2.742132290959101	2.3417679051863507	2.0776090890999863	2.4090850153041394	1.7348783745953713	1.5603355531000958	2.638555878432548	2.640266409953458	1.4929253902934578	1.1676143179513576	1.0451018724632521	1.060257634199334	1.0471882893184006	1.282192357197108	1.0238237462055702	1.59019020325161	1.0115959507700705	4.7335096016622025	1.1136975361687798	0.8148906207772966	2.902068121791514	3.830823271720673	0.8566596111452808	9.533909879092247	NaN
0.999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	2.4258490029314473E7	221708.4454206459	63871.03801101348	32704.093828768502	Infinity	14192.728900914908	2805.3457024672807	39518.704443721566	2780.4006706395917	Infinity	6586.450740620263	14113.823015614846	6586.450740620263	5838.7247579569075	8207.920633364383	6586.450740620263	157.76118464494363	3258.748766744922	2171.357387017669	662.57650293227	3258.748766744922	341.06402207998957	174.6716738510274	231.27692449453184	88.39303055795286	489.88670905058484	209.06705896989075	298.3369383758111	90.89179092004787	46.43745381283643	68.04127475096712	40.377481620302326	28.55981789704179	45.328962622713455	NaN
0.005	1057706.2167231424	280.34081415143976	142.37031951340066	71.34448517301848	47.53675467087566	30.709445521708624	19.595858702776923	15.797606911969012	11.927900424604394	8.23212805800695	7.809290994358819	5.984700879456057	5.6022167886738465	4.793627345175043	3.9991307747815643	4.05963899493791	3.591120759432148	3.945613126136464	2.9022540294743244	2.873470014754022	2.082260181069471	2.3551072749268975	2.638555878432548	2.640266409953458	1.4929253902934578	1.1676143179513576	1.0451018724632521	1.060257634199334	1.0471882893184006	1.282192357197108	1.0238237462055702	1.59019020325161	1.0115959507700705	4.7335096016622025	1.1136975361687798	0.8148906207772966	2.902068121791514	3.830823271720673	0.8566596111452808	9.533909879092247	NaN
0.995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	212908.4710586711	39518.704443721566	10505.093250403044	4481.099628073916	1945.3734060952443	2707.2321859455515	1048.9753183668959	973.3687632704715	793.8952748234004	17741.11989169974	2712.929623885232	1949.0444469368126	6534.275607588104	5838.7247579569075	3592.6094948837804	734.8151038036723	157.76118464494363	442.76458555521646	749.8434481481186	662.57650293227	3258.748766744922	341.06402207998957	174.6716738510274	231.27692449453184	88.39303055795286	489.88670905058484	209.06705896989075	298.3369383758111	90.89179092004787	46.43745381283643	68.04127475096712	40.377481620302326	28.55981789704179	45.328962622713455	NaN
0.01	1057706.2167231424	1962.2951044287643	205.85019891990729	71.55994548454865	63.15779969826368	38.867942378860924	22.602318394537775	15.979725652216942	12.007225764629029	9.988728917583812	8.163956038561155	5.984700879456057	5.930828421540704	5.080323476299616	4.0425049512202795	4.065763407080627	3.8094582023721464	4.075948558596388	3.339632349549097	2.879567223246675	2.082260181069471	2.3551072749268975	2.667251834677109	4.080761163345893	2.38306427221987	1.1676143179513576	1.0451018724632521	1.060257634199334	1.0471882893184006	1.282192357197108	1.0238237462055702	1.59019020325161	1.0115959507700705	4.7335096016622025	1.1136975361687798	3.4579285665883837	2.902068121791514	3.830823271720673	0.8566596111452808	9.533909879092247	NaN
0.99	Infinity	Infinity	Infinity	Infinity	60447.74004662686	56880.04608946578	12130.229359267905	4668.169901021867	6190.260458309249	3103.9625213701124	1325.2398307641422	1457.6461949352524	820.9307630904634	612.8663442842447	611.0972814467555	977.8445295416074	1631.95975504363	1074.0903852258953	1952.7244147615374	5838.7247579569075	1658.2887501306693	224.060954998378	156.9570921516306	442.76458555521646	749.8434481481186	662.57650293227	489.292103098029	341.06402207998957	174.6716738510274	231.27692449453184	88.39303055795286	489.88670905058484	209.06705896989075	298.3369383758111	90.89179092004787	46.43745381283643	68.04127475096712	40.377481620302326	28.55981789704179	45.328962622713455	NaN
0.025	2115471.1493679723	2045.9283489096579	294.17389152201764	93.06271609710822	90.81566384099816	47.03421458713708	34.31593677994094	23.49600754014629	17.51316824362347	11.918286521412796	10.130700458148363	7.887902289229346	6.944045327148047	6.054127532368984	5.303400660134827	5.042740676187589	4.444920951916677	4.315060680166142	3.955777099931465	3.8532704171625043	3.2681891907331746	2.647166852478661	4.858528609827415	4.365759032560895	2.7414983584593178	1.7132521130691478	1.168559489933146	1.8432783226197318	1.3748031009578456	2.416413350947178	3.4826096768916237	4.84614728801553	3.0632999683479856	11.283227941418541	10.125708984258956	4.355302202085325	6.895786108619641	3.9110625353037047	0.8566596111452808	15.669065977862804	NaN
0.975	Infinity	Infinity	Infinity	261762.34318728026	38289.40609820259	16850.85065337057	5084.529093773544	2879.902383903913	2780.4006706395917	1553.522549893806	1139.387494095671	852.8507484975815	682.5771087387916	561.5805391430338	453.06574984413834	567.1474545264762	426.87621094242246	331.65831547938944	306.4298348340996	366.5078221418353	269.48020491550824	218.64961272268704	156.9570921516306	306.777557316269	346.22435076010385	662.57650293227	489.292103098029	168.67122278326008	113.13110886426625	231.27692449453184	88.39303055795286	489.88670905058484	204.94615295115463	298.3369383758111	73.58704678370648	36.528925135280545	41.959693416210364	31.282449691689806	28.120959467556638	45.328962622713455	NaN
0.05	2115471.1493679723	8539.834596131172	860.4301304552554	138.513879292183	323.514392752717	68.71530002827973	46.53309015588952	33.24955233937202	23.19936418859892	16.17616597032834	13.378809542021768	11.114562529845948	9.793235778418122	9.316004938239749	7.761408844342369	8.458625356251495	6.092457934485768	5.711911041807383	4.946170961403214	5.798193795286338	4.841193009155523	2.777845778571775	5.363986766705294	6.478870455045866	6.23016043055856	2.6005026277445658	2.0591724939729383	5.852299191773235	3.140803692630853	2.949365874924423	5.446804763294498	5.544317766268574	4.605178854933361	14.438693622112373	18.68242165128381	12.666745137860605	11.294420699780671	3.9110625353037047	2.222325032288452	15.669065977862804	NaN
