r\c	0.0	50.0	100.0	150.0	200.0	250.0	300.0	350.0	400.0	450.0	500.0	550.0	600.0	650.0	700.0	750.0	800.0	850.0	900.0	950.0	1000.0	1050.0	1100.0	1150.0	1200.0	1250.0	1300.0	1350.0	1400.0	1450.0	1500.0	1550.0	1600.0	1650.0	1700.0	1750.0	1800.0	1850.0	1900.0	1950.0	2000.0	2050.0	2100.0	2150.0	2200.0	2250.0	2300.0	2350.0	2400.0	2450.0	2500.0	2550.0	2600.0	2650.0	2700.0	2750.0	2800.0	2850.0	2900.0	2950.0	3000.0
0.9995	Infinity	Infinity	6.077162717184E13	7.307636E7	4304745.0	497179.3125	118288.6953125	41939.44921875	22482.734375	18443.10546875	23329.404296875	23076.775390625	18301.712890625	19066.0546875	14536.2060546875	14785.052734375	9747.9609375	11982.0673828125	11116.90234375	15804.57421875	11348.67578125	6303.41552734375	4595.89697265625	6355.15673828125	7162.814453125	28613.578125	4700.716796875	6210.294921875	3562.990966796875	3164.285400390625	2270.33154296875	1158.4552001953125	66517.09375	1221.58740234375	1237.3885498046875	66700.625	1667.11279296875	127692.7734375	554.2756958007812	314.7799072265625	128166.6640625	6393.2998046875	316.7947692871094	42359.97265625	4677.12060546875	807277.875	1467.257080078125	813575.0625	239.9762725830078	20269.40234375	21588.2265625	34379.5234375	1366.2760009765625	35.013282775878906	141.529541015625	115.93241119384766	52.02132797241211	1267.78857421875	63.84173583984375	45.042510986328125	NaN
0.001	3294.268310546875	9.665214538574219	6.758021354675293	3.1525516510009766	1.37749183177948	1.0438857078552246	0.9639989137649536	0.8765407204627991	0.622156023979187	0.3474198877811432	0.32986563444137573	0.1738370656967163	0.1683957278728485	0.10459727048873901	0.07005060464143753	0.06968072056770325	0.06368156522512436	0.04843127354979515	0.03744461387395859	0.029198061674833298	0.023403126746416092	0.02500336430966854	0.02330966107547283	0.022845227271318436	0.015964658930897713	0.023144660517573357	0.015887362882494926	0.013447022065520287	0.011551665142178535	0.011547425761818886	0.010013540275394917	0.010002798400819302	0.01563723012804985	0.008749738335609436	0.008734339848160744	0.008724072948098183	0.034518953412771225	0.006852064747363329	0.006133530754595995	0.005536025855690241	0.008638604544103146	0.004154018592089415	0.009742135182023048	0.0035200368147343397	0.0035044080577790737	0.06331563740968704	0.006327256094664335	0.002996050985530019	0.005513348150998354	0.057814229279756546	0.0026000861544162035	0.002590775489807129	0.002426780527457595	0.0022705821320414543	0.0022624845150858164	0.0032145308796316385	0.0027664415538311005	0.0019988389685750008	0.001992846606299281	0.0024064169265329838	NaN
0.999	Infinity	Infinity	3.3820672E9	1.3729926E7	1470849.375	235505.21875	68365.609375	26678.375	13299.1337890625	9613.6064453125	13133.029296875	15521.8876953125	11219.9912109375	8700.1689453125	8600.3369140625	8024.2841796875	5860.31201171875	5667.1767578125	7081.30029296875	8518.708984375	7396.451171875	4573.1337890625	3189.60498046875	3107.316650390625	2190.98828125	4700.716796875	3532.876953125	4076.585205078125	1741.3782958984375	1921.5692138671875	1759.529296875	868.4201049804688	1110.546142578125	815.94677734375	787.8928833007812	681.42041015625	970.9869384765625	572.6199951171875	471.0367126464844	314.7799072265625	52959.5	1568.5059814453125	316.7947692871094	111.64043426513672	98.87200164794922	78.392333984375	1467.257080078125	4725.1474609375	239.9762725830078	20269.40234375	21588.2265625	34379.5234375	1366.2760009765625	35.013282775878906	141.529541015625	115.93241119384766	52.02132797241211	1267.78857421875	63.84173583984375	45.042510986328125	NaN
0.005	3294.317138671875	64.78793334960938	9.651613235473633	7.577722549438477	3.1957101821899414	3.097140312194824	2.5840396881103516	1.330378770828247	1.0151324272155762	0.9286087155342102	0.6335551738739014	0.42237401008605957	0.337657630443573	0.2970437705516815	0.17189978063106537	0.16930027306079865	0.16732780635356903	0.1652550995349884	0.1612076312303543	0.10638478398323059	0.0685391053557396	0.06813038885593414	0.06806802749633789	0.11262413114309311	0.07308900356292725	0.06638745963573456	0.06687057763338089	0.0922391414642334	0.06331563740968704	0.11017856001853943	0.12533411383628845	0.03572877123951912	0.12101621925830841	0.06351472437381744	0.07738341391086578	0.046300940215587616	0.12164225429296494	0.11729089915752411	0.05915652960538864	0.11561475694179535	0.11191780865192413	0.031576935201883316	0.04552357271313667	0.089297354221344	0.1171349436044693	0.11855734884738922	0.0537506602704525	0.039104312658309937	0.04105517268180847	0.14368601143360138	0.060588717460632324	0.005496385507285595	0.1349918097257614	0.103757843375206	0.09855657815933228	0.0037739013787359	0.07867272943258286	0.08267322927713394	0.09055560827255249	0.0068766032345592976	NaN
0.995	Infinity	Infinity	1.615639E7	968313.125	178130.234375	60104.125	24666.2890625	12177.623046875	6568.68603515625	4118.27490234375	3182.8232421875	3349.6279296875	3378.82373046875	2753.465576171875	2710.522705078125	2153.951416015625	1761.261474609375	1422.507080078125	1467.3187255859375	1645.180908203125	1233.5372314453125	1234.60205078125	1176.19287109375	846.1236572265625	902.1104736328125	893.5791625976562	711.4842529296875	1515.66650390625	540.2205200195312	397.3590393066406	562.2935791015625	250.23672485351562	197.95877075195312	165.49769592285156	119.20450592041016	130.7138214111328	117.51433563232422	94.59290313720703	103.44688415527344	195.30642700195312	122.31292724609375	55.512996673583984	120.72655487060547	105.45462036132812	95.81350708007812	74.81006622314453	67.46687316894531	58.72259521484375	51.35365295410156	15.814959526062012	40.69334030151367	27.583148956298828	35.329219818115234	12.869254112243652	17.930171966552734	16.625720977783203	13.787742614746094	14.699277877807617	11.807860374450684	7.8217878341674805	NaN
0.01	4740.04150390625	91.9251708984375	9.78643798828125	9.499567031860352	7.471930980682373	3.2235138416290283	3.061103582382202	2.706047773361206	1.5576151609420776	1.0126547813415527	0.9186185598373413	0.7567732334136963	0.5681838393211365	0.41547858715057373	0.4066154360771179	0.3251921236515045	0.29764309525489807	0.3170851171016693	0.2401110976934433	0.17132331430912018	0.16073106229305267	0.15994305908679962	0.15996745228767395	0.20833715796470642	0.1575959175825119	0.15184621512889862	0.14742834866046906	0.182526096701622	0.14557577669620514	0.15561442077159882	0.2501230835914612	0.13027213513851166	0.13565924763679504	0.1292351335287094	0.3435819447040558	0.2029009461402893	0.3211725056171417	0.2803339958190918	0.23182712495326996	0.22924578189849854	0.19934244453907013	0.10509005188941956	0.12197868525981903	0.14475177228450775	0.2206675261259079	0.3504224717617035	0.12801115214824677	0.1068158745765686	0.1481042206287384	0.19653436541557312	0.1351763904094696	0.14326515793800354	0.38748541474342346	0.16516579687595367	0.12802742421627045	0.0971713662147522	0.13146856427192688	0.12144488096237183	0.1733384132385254	0.02761375531554222	NaN
0.99	Infinity	6.46238568448E11	6831626.5	540554.875	115892.5	40125.2734375	16923.1015625	8798.3779296875	5061.53564453125	3193.533935546875	2441.443359375	1889.431640625	1675.6322021484375	1443.705810546875	1222.228271484375	1151.65869140625	976.791259765625	674.56982421875	606.27490234375	613.9075317382812	443.782470703125	442.8868713378906	420.99578857421875	372.9161682128906	321.79815673828125	307.5490417480469	334.9047546386719	514.6444091796875	422.7291564941406	352.35516357421875	301.8905334472656	234.8938751220703	176.21649169921875	138.31336975097656	48.953285217285156	70.536376953125	85.19764709472656	33.076324462890625	38.755104064941406	43.27958297729492	49.791568756103516	46.74571228027344	44.0360221862793	92.97078704833984	86.72893524169922	66.90262603759766	64.45578002929688	29.763429641723633	50.9579963684082	11.547942161560059	23.22616195678711	9.845348358154297	26.461183547973633	8.119400978088379	8.677026748657227	8.02724552154541	10.824153900146484	7.637349605560303	9.699975967407227	6.152390480041504	NaN
0.025	4745.16259765625	733.836669921875	348.2086181640625	59.0687141418457	9.444097518920898	9.048455238342285	7.0899434089660645	6.674793720245361	2.9931280612945557	2.609196901321411	1.2909505367279053	0.9742434620857239	0.9406924247741699	0.9091650247573853	0.862712562084198	0.7823943495750427	0.8100290298461914	0.8100000619888306	0.755937397480011	0.755929172039032	0.7426281571388245	0.7650939226150513	0.7198637127876282	0.7192603349685669	0.6257022619247437	0.583615779876709	0.7159792184829712	0.999632716178894	0.7864169478416443	0.885661780834198	1.2464123964309692	0.87746262550354	0.6730074882507324	0.727209746837616	0.7768068313598633	0.689785897731781	0.7353057861328125	0.7851089239120483	0.6658899188041687	0.5014830827713013	0.6170602440834045	0.4361386001110077	0.4305289089679718	0.41642463207244873	0.5260168313980103	0.5548099875450134	0.571405291557312	0.4580667316913605	0.5780922770500183	0.4968096911907196	0.5526580810546875	0.2919936180114746	0.6370226740837097	0.3751769959926605	0.27090033888816833	0.2659708857536316	0.48316216468811035	0.32931727170944214	0.33680260181427	0.08921920508146286	NaN
0.975	Infinity	1.176265344E9	2587643.0	304725.3125	74100.0546875	26537.12890625	11349.5341796875	6102.85888671875	3663.332275390625	2295.55419921875	1715.65185546875	1303.6943359375	1013.8414916992188	765.7637939453125	582.860595703125	463.73394775390625	374.4446716308594	291.517333984375	243.0968780517578	219.9145050048828	183.7603302001953	147.21292114257812	126.5058364868164	118.09033203125	98.14228057861328	94.25967407226562	82.78276824951172	84.35987854003906	82.61902618408203	173.0147705078125	249.39601135253906	75.60586547851562	41.062408447265625	36.90079879760742	28.30354118347168	26.540287017822266	30.26200294494629	19.792024612426758	24.066511154174805	19.170080184936523	18.021577835083008	18.080238342285156	16.508516311645508	16.95012855529785	13.63681697845459	14.220637321472168	10.873502731323242	11.958231925964355	11.58958625793457	8.944554328918457	9.451441764831543	6.786165237426758	7.687354564666748	7.424400329589844	7.719959259033203	7.345510005950928	7.484836578369141	6.877774715423584	6.059719562530518	5.756126403808594	NaN
0.05	4746.5	1489.398681640625	617.6364135742188	320.5613098144531	58.57624435424805	48.1439323425293	8.875585556030273	8.400811195373535	6.758825778961182	6.208264350891113	2.7038419246673584	2.2984142303466797	1.9559264183044434	1.3131117820739746	1.1739108562469482	1.1356652975082397	1.1741183996200562	1.7924516201019287	1.7765357494354248	2.016913414001465	2.599470853805542	2.8564817905426025	2.826005220413208	2.9319095611572266	2.5659215450286865	2.0612282752990723	2.3088390827178955	2.618894100189209	2.5816233158111572	2.167327642440796	2.3416922092437744	2.0761468410491943	1.6433346271514893	1.6870604753494263	1.5707675218582153	1.1294866800308228	1.1108307838439941	1.6192388534545898	1.3082274198532104	0.9197176694869995	1.1586971282958984	0.9880859851837158	1.2058559656143188	0.7862741947174072	0.7759121656417847	0.9077973365783691	1.0018665790557861	0.9344649910926819	1.4320863485336304	1.5274983644485474	1.2373157739639282	0.6888837814331055	1.275051474571228	0.9008560180664062	0.8042781949043274	0.9429631233215332	1.0851349830627441	0.668779730796814	0.4912034571170807	0.3343966007232666	NaN
